"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 5월","4.5195","4.4638","4.8875","4.4352","102.54K","1.41%"
"2021년 4월","4.4565","3.9853","4.5505","3.9440","871.60K","11.54%"
"2021년 3월","3.9955","4.1060","4.2275","3.8490","2.01M","-2.37%"
"2021년 2월","4.0925","3.5535","4.3755","3.5000","1.03M","15.07%"
"2021년 1월","3.5565","3.5325","3.7395","3.4985","172.94K","0.92%"
"2020년 12월","3.5240","3.4550","3.6490","3.4445","77.48K","2.35%"
"2020년 11월","3.4430","3.0400","3.5075","3.0400","82.06K","12.65%"
"2020년 10월","3.0565","3.0480","3.2025","2.8565","63.80K","0.46%"
"2020년 9월","3.0425","3.0795","3.1205","2.9320","70.85K","-1.28%"
"2020년 8월","3.0820","2.8995","3.0880","2.8270","33.54K","5.87%"
"2020년 7월","2.9110","2.7465","3.0095","2.7465","23.40K","5.45%"
"2020년 6월","2.7605","2.4800","2.7565","2.4800","7.87K","11.51%"
"2020년 5월","2.4755","2.3435","2.5045","2.3435","2.20K","3.99%"
"2020년 4월","2.3805","2.2480","2.4225","2.2150","1.54K","5.22%"
"2020년 3월","2.2625","2.5525","2.5615","2.1350","0.74K","-12.14%"
"2020년 2월","2.5750","2.5945","2.6560","2.5555","0.77K","0.55%"
"2020년 1월","2.5610","2.8180","2.8180","2.5580","0.10K","-9.66%"
"2019년 12월","2.8350","2.8350","2.8350","2.8350","0.08K","4.73%"
"2019년 11월","2.7070","2.7685","2.7685","2.7405","0.04K","0.80%"
"2019년 10월","2.6855","2.6920","2.6920","2.6920","0.03K","1.84%"
"2019년 9월","2.6370","2.6370","2.6370","2.6370","0.00K","1.11%"
"2019년 8월","2.6080","2.6080","2.6080","2.6080","0.03K","-4.63%"
"2019년 7월","2.7345","2.7345","2.7345","2.7345","0.02K","-1.42%"
"2019년 6월","2.7740","2.7740","2.7740","2.7740","0.02K","3.08%"
"2019년 5월","2.6910","2.6910","2.6910","2.6910","0.02K","-9.44%"
"2019년 4월","2.9715","2.9715","2.9715","2.9715","0.00K","-0.10%"
"2019년 3월","2.9745","2.9745","2.9745","2.9745","0.01K","-0.20%"
"2019년 2월","2.9805","2.9805","2.9805","2.9805","0.01K","5.17%"
"2019년 1월","2.8340","2.8340","2.8340","2.8340","0.02K","5.96%"
"2018년 12월","2.6745","2.6745","2.6745","2.6745","0.19K","-5.13%"
"2018년 11월","2.8190","2.8190","2.8190","2.8190","0.02K","2.49%"
"2018년 10월","2.7505","2.7505","2.7505","2.7505","237.35K","-4.48%"
